Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,47/50,32436,"[7, 9, 5, 3, 2, 9, 4, 5, 0, 1, 8, 4, 3, 6, 5, 7, 3, 2, 4, 9, 0, 5, 6, 4, 1, 7]",26
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,49/50,11909,"[3, 5, 9, 8, 4, 2, 0, 1, 4, 6, 5, 3, 7, 4, 2, 9, 8, 5, 4, 3, 6, 4, 2, 1, 0, 5, 7]",27
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2757,"[2, 4, 0, 8, 9, 2, 3, 6, 2, 3, 4, 6, 5, 2, 0, 1, 5, 9, 6, 4, 1, 5, 9, 8, 3, 2, 0, 7, 5, 2, 9]",31
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2550,"[9, 5, 2, 4, 1, 5, 6, 5, 3, 2, 0, 9, 7, 8, 5, 4, 2, 9, 6, 4, 1, 0, 5, 7, 8, 2, 3, 4, 0, 9]",30
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,50/50,3158,"[3, 9, 5, 4, 2, 4, 1, 6, 3, 5, 0, 9, 3, 8, 2, 0, 9, 4, 5, 6, 1, 4, 7, 9, 5, 2, 0, 3]",28
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2127,"[3, 5, 9, 3, 2, 4, 0, 1, 6, 8, 9, 5, 9, 7, 4, 3, 2, 5, 9, 8, 6, 3, 2, 0, 4, 5, 6, 7, 1]",29
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2465,"[7, 9, 2, 4, 5, 3, 0, 1, 6, 9, 0, 5, 3, 2, 7, 9, 8, 5, 4, 2, 6, 4, 3, 7, 8, 1, 0]",27
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,45/50,51952,"[3, 4, 5, 2, 4, 9, 1, 6, 5, 3, 2, 0, 9, 5, 8, 3, 4, 7, 9, 2, 1, 5]",22
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2032,"[3, 7, 9, 2, 4, 5, 0, 1, 3, 8, 9, 6, 5, 3, 4, 6, 4, 2, 1, 0, 5, 7, 9, 8, 6, 2, 1, 0]",28
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2109,"[3, 7, 9, 2, 4, 5, 0, 1, 6, 8, 9, 5, 4, 3, 2, 9, 6, 1, 0, 4, 5, 6, 7, 8, 3, 2, 0]",27
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,45/50,51944,"[3, 2, 0, 4, 5, 8, 9, 2, 1, 9, 6, 3, 4, 5, 0, 2, 7, 3, 5, 9, 6, 1, 4, 2, 7]",25
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2142,"[3, 9, 5, 4, 1, 6, 5, 3, 2, 4, 9, 8, 5, 3, 2, 0, 8, 7, 5, 4, 2, 1, 6, 7, 9, 4, 1, 0]",28
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2390,"[8, 2, 0, 3, 4, 8, 9, 5, 2, 1, 6, 9, 5, 2, 0, 3, 4, 5, 7, 9, 5, 6, 7, 4, 2, 1]",26
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,50/50,2628,"[3, 9, 2, 4, 5, 1, 3, 2, 9, 6, 3, 0, 5, 4, 2, 7, 9, 8, 5, 2, 0, 3, 4, 6, 7, 2, 5, 1]",28
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2207,"[5, 7, 9, 2, 1, 0, 5, 6, 5, 4, 5, 8, 5, 3, 4, 5, 2, 0, 1, 9, 6, 5, 7, 4, 2, 1, 8, 2, 0]",29
